method,distance,path
Exacto,-,-
Greedy,755,1 57 30 9 28 39 47 24 32 37 15 56 40 50 8 27 5 43 16 21 33 6 45 46 52 38 55 3 36 53 20 2 17 48 23 42 31 41 59 49 58 12 35 11 22 25 19 18 51 14 10 60 26 34 54 7 4 44 29 13
2-opt,686,1 57 30 9 28 4 44 29 13 5 27 8 40 50 56 15 54 7 26 34 60 10 14 47 39 19 25 24 32 37 18 51 43 16 21 33 6 45 46 52 38 55 3 36 53 20 2 17 12 35 11 22 31 23 48 42 41 59 49 58
GRASP,686,1 57 30 9 28 4 44 29 13 5 27 8 40 50 56 15 54 7 26 34 60 10 14 47 39 19 25 12 35 11 22 24 32 37 18 51 43 16 21 33 6 45 46 52 38 55 3 36 53 20 2 17 48 23 42 31 41 59 49 58
Simulated Annealing,691,1 57 3 52 46 38 55 6 33 45 21 16 43 51 18 50 40 8 27 5 13 29 44 4 28 30 9 14 10 60 34 26 7 54 56 15 37 24 32 47 39 19 25 22 11 12 35 59 41 31 42 48 23 17 2 20 53 36 49 58
