model,delay,schedule
Disyuntivo (100 secs.),14971,8 2 9 25 15 17 7 12 5 1 24 23 14 21 19 28 27 13 6 16 10 20 11 4 30 26 29 18 3 22
Indices de Tiempo (100 secs.),14596,25 9 15 2 8 17 7 5 1 24 12 23 14 21 19 27 28 13 6 16 10 29 30 26 3 20 11 4 18 22
Seleccion aleatoria (100 iters),21088,9 6 18 8 24 12 1 20 7 10 17 15 14 23 19 26 27 2 25 30 11 28 22 5 21 16 29 3 13 4
Seleccion aleatoria (1000 iters),20109,19 21 25 1 15 7 24 2 22 27 8 12 18 17 28 6 9 4 14 23 10 16 30 29 3 5 13 11 20 26
Busqueda Local (1 iters),14596,15 25 9 2 8 17 7 5 1 24 12 14 23 21 19 27 28 13 6 16 10 29 26 30 3 11 20 4 18 22
Busqueda Local (4 iters),14596,15 25 9 2 8 17 7 5 1 24 12 23 14 21 19 28 27 13 6 16 10 30 29 26 3 20 11 4 22 18 
