model,delay,schedule
Disyuntivo (100 secs.),324791,20 78 21 29 28 60 5 73 43 8 71 96 36 59 85 69 7 45 6 80 97 98 27 47 99 62 10 55 54 66 25 87 41 53 93 35 14 89 65 51 9 91 74 24 64 18 19 77 57 82 95 58 13 72 1 52 86 40 3 23 48 50 70 33 83 63 92 2 37 16 68 22 61 31 39 67 49 75 11 44 42 17 56 12 94 76 81 38 79 34 88 32 4 26 15 90 46 30 100 84
Indices de Tiempo (100 secs.),226520,91 92 13 21 89 5 27 23 78 8 60 45 77 73 85 74 80 1 3 62 68 69 35 26 34 82 50 66 42 86 54 40 75 30 38 9 96 53 39 19 76 10 14 20 52 11 44 99 97 88 67 48 17 98 47 71 32 24 93 59 61 70 84 81 16 46 64 28 7 22 33 57 100 36 12 6 56 51 65 49 79 18 29 63 90 4 43 95 83 2 31 25 37 55 94 72 87 41 58 15
