model,delay,schedule
Disyuntivo (100 secs.),9975,2 6 1 17 11 10 16 3 12 4 20 14 15 13 19 5 18 7 9 8
Indices de Tiempo (100 secs.),9010,2 6 10 1 11 3 12 4 13 7 18 20 17 14 19 16 15 9 5 8
Seleccion aleatoria (100 iters),10974,4 11 12 13 2 6 1 5 3 10 17 16 19 20 15 8 9 18 7 14
Seleccion aleatoria (1000 iters),10837,2 18 6 12 3 13 7 19 11 1 14 9 15 10 17 4 5 16 20 8
Busqueda Local (1 iters),9010,6 2 10 1 11 3 12 4 13 18 7 17 20 14 19 16 15 9 5 8
Busqueda Local (4 iters),9010,6 2 10 1 11 12 3 4 13 18 7 20 17 14 19 16 9 15 5 8 
