method,distance,path
Exacto,-,-
Greedy,935,1 22 45 82 11 62 92 4 35 44 48 94 34 42 68 56 32 85 61 25 99 38 66 73 19 43 74 40 7 64 83 41 60 15 90 36 30 17 10 58 29 72 18 33 70 88 91 100 69 95 2 49 46 12 80 93 50 3 71 14 65 52 96 89 97 79 28 63 98 78 77 86 9 55 53 51 26 6 59 57 8 5 13 81 84 24 39 54 67 27 75 47 37 21 16 23 76 20 31 87
2-opt,946,1 28 96 52 89 97 71 44 48 94 68 42 37 47 75 27 67 54 39 84 24 11 62 92 35 4 14 65 22 45 82 5 8 57 59 6 55 26 51 53 56 34 81 13 21 9 86 77 78 98 70 33 18 88 91 74 19 43 66 73 79 80 93 50 3 32 85 61 25 99 38 12 2 95 49 46 69 100 41 83 64 7 40 60 36 90 15 30 17 10 58 29 72 63 76 23 16 31 20 87
GRASP,863,1 87 31 20 16 23 76 63 88 91 70 33 18 72 29 58 10 17 30 15 90 36 60 40 7 64 83 74 41 100 69 46 49 95 2 12 38 99 25 61 85 32 3 50 93 80 79 73 66 43 19 71 65 14 97 89 52 96 28 98 78 77 86 9 5 21 26 51 53 55 59 6 57 8 13 81 84 24 39 54 67 47 75 27 37 56 68 42 34 94 48 44 35 4 92 62 11 82 45 22
Simulated Annealing,866,1 22 45 82 11 62 92 4 35 44 48 94 34 42 68 56 37 27 75 47 67 54 39 24 84 81 13 8 57 6 59 55 53 51 26 21 5 9 86 77 78 98 33 70 63 58 29 72 18 88 91 100 69 46 49 95 2 12 38 99 25 61 85 32 3 50 93 80 79 73 66 43 19 74 41 83 64 7 40 60 36 90 15 30 17 10 71 65 14 97 89 52 96 28 76 23 16 20 31 87
