method,distance,path
Exacto,582,1 27 50 30 7 21 11 25 10 15 54 60 41 6 12 28 20 22 24 29 26 33 46 43 39 53 57 34 2 31 40 49 32 35 36 37 8 59 13 48 23 56 18 52 19 3 51 55 5 47 17 42 45 44 16 14 58 38 4 9 
Greedy,690,1 27 4 38 49 40 31 57 34 2 39 43 46 29 53 24 22 20 28 12 6 41 60 54 15 10 25 11 21 7 30 50 26 33 35 36 8 37 59 13 32 48 23 56 18 52 19 3 51 55 5 47 17 45 42 44 16 14 58 9
2-opt,751,1 9 58 14 16 44 45 42 17 47 55 3 19 51 52 18 23 56 48 13 32 35 36 8 37 59 5 21 11 7 30 15 54 60 41 6 28 12 22 20 29 43 39 53 46 33 26 24 50 10 25 31 57 34 2 40 49 38 4 27
GRASP,690,1 27 4 38 49 40 31 57 34 2 39 43 46 29 53 24 22 20 28 12 6 41 60 54 15 10 25 11 21 7 30 50 26 33 35 36 8 37 59 13 32 48 23 56 18 52 19 3 51 55 5 47 17 45 42 44 16 14 58 9
Simulated Annealing,682,1 9 4 24 22 20 26 33 46 29 43 39 53 57 2 34 31 40 32 13 35 36 8 37 59 52 18 56 23 48 49 38 58 14 16 17 55 3 19 51 5 47 42 45 44 21 11 7 30 15 10 25 60 41 6 28 12 54 50 27
