method,distance,path
Exacto,1002,1 57 99 64 80 63 36 47 4 79 82 67 2 50 93 40 31 7 34 68 43 35 54 76 49 95 13 92 29 27 86 73 75 3 33 39 81 100 97 19 45 15 6 74 18 65 23 71 10 25 17 72 53 52 32 48 11 66 12 42 16 61 98 8 84 26 14 83 46 37 58 77 60 38 88 96 85 70 94 44 89 62 90 22 21 87 91 59 24 41 20 69 5 78 30 51 28 56 55 9 
Greedy,989,1 24 41 59 57 40 31 64 80 63 36 47 99 4 67 79 82 19 45 97 50 2 93 20 69 5 78 92 29 27 86 28 15 74 18 65 23 71 10 25 17 32 52 66 12 42 16 61 26 84 14 83 37 77 60 38 88 96 85 70 94 44 89 21 87 91 34 7 22 90 62 58 46 35 54 43 76 49 95 13 48 11 53 72 98 8 68 6 3 73 75 100 33 39 81 9 55 56 30 51
2-opt,1005,1 24 41 59 57 40 31 64 80 63 36 47 99 4 67 79 82 19 45 97 39 81 33 100 3 73 75 28 86 27 29 92 78 5 69 20 43 76 49 95 13 48 11 12 42 16 61 26 84 14 83 37 77 60 38 88 96 85 70 94 44 89 21 87 91 34 7 22 90 62 58 46 35 54 68 98 8 93 50 2 66 52 32 53 72 17 25 10 23 71 65 18 74 6 15 9 55 56 30 51
GRASP,899,1 28 86 27 29 92 78 5 69 20 43 76 49 95 13 48 11 10 25 17 32 52 66 12 42 16 61 26 84 14 83 37 77 60 38 88 96 85 70 94 44 89 21 87 91 34 7 22 90 62 58 46 35 54 68 98 8 53 72 71 23 65 18 74 6 15 75 73 3 100 33 45 97 19 79 67 82 24 41 59 57 40 31 64 80 63 36 47 99 4 93 50 2 39 81 9 55 56 30 51
Simulated Annealing,968,1 24 41 59 57 40 31 64 80 63 36 47 99 4 67 79 82 19 45 97 50 2 93 20 69 5 78 92 68 98 8 53 72 6 74 18 65 23 71 10 25 17 32 52 66 12 42 16 61 26 84 14 83 37 77 60 38 88 96 85 70 94 44 89 21 87 91 34 7 22 90 62 58 46 35 54 43 76 49 95 13 48 11 27 29 86 28 30 56 55 9 81 39 33 100 3 73 75 15 51
