method,vehicles,distance,path
Exacto,8,606,(1;3) (1;4) (1;10) (1;15) (1;16) (1;17) (1;18) (1;25) (2;24) (3;5) (4;1) (5;26) (6;8) (7;2) (8;1) (9;12) (10;9) (11;1) (12;13) (13;1) (14;22) (15;7) (16;20) (17;14) (18;6) (19;23) (20;1) (21;1) (22;21) (23;1) (24;1) (25;19) (26;11)
Clarke y Wright,9,635,(1;3) (1;4) (1;6) (1;7) (1;9) (1;13) (1;16) (1;18) (1;23) (2;24) (3;5) (4;1) (5;26) (6;14) (7;15) (8;1) (9;10) (10;12) (11;1) (12;17) (13;1) (14;1) (15;21) (16;20) (17;1) (18;2) (19;25) (20;1) (21;22) (22;8) (23;19) (24;1) (25;1) (26;11)
