method,vehicles,distance,path
Exacto,7,548,(1;1) (1;12) (1;13) (1;18) (1;28) (1;48) (1;49) (2;1) (3;33) (4;23) (5;43) (6;47) (7;1) (8;24) (9;27) (10;31) (11;50) (12;17) (13;15) (14;19) (15;26) (16;46) (17;51) (18;38) (19;1) (20;42) (21;36) (22;30) (23;2) (24;7) (25;44) (26;25) (27;32) (28;1) (29;21) (30;3) (31;35) (32;29) (33;1) (34;40) (35;22) (36;37) (37;4) (38;45) (39;6) (40;11) (41;20) (42;14) (43;41) (44;8) (45;16) (46;34) (47;1) (48;5) (49;9) (50;39) (51;10)
Clarke y Wright,6,684,(1;2) (1;7) (1;14) (1;15) (1;39) (1;47) (2;23) (3;30) (4;29) (5;48) (6;13) (7;24) (8;44) (9;27) (10;11) (11;34) (12;50) (13;1) (14;20) (15;26) (16;43) (17;51) (18;46) (19;1) (20;41) (21;36) (22;17) (23;3) (24;25) (25;8) (26;19) (27;32) (28;9) (29;1) (30;21) (31;35) (32;33) (33;1) (34;40) (35;22) (36;37) (37;4) (38;16) (39;10) (40;31) (41;42) (42;5) (43;45) (44;49) (45;18) (46;6) (47;12) (48;1) (49;28) (50;38) (51;1)
