p, greedy percent, greedy opened, random greedy percent, random greedy opened, xpress percent, xpress opened
1,51.9056 %, 17 ,51.9056 %, 17 ,51.9056 %,17
2,68.8971 %,17  18,68.8971 %,17  18,68.8971 %,17  18
3,77.9532 %,2  17  18,77.9532 %,2  17  18,77.9532 %,2  17  18
4,85.5581 %,2  4  17  18,85.5581 %,2  4  17  18,85.5581 %,2  4  17  18
5,90.7717 %,2  4  10  17  18,90.7717 %,2  4  10  17  18,90.7717 %,2  4  10  17  18
6,92.7893 %,2  4  9  10  17  18,93.5694 %,4  11  12  17  18  19,93.5694 %,4  11  12  17  18  19
